Label,ImageSource
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\006_an_000_0024.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\006_an_000_0025.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\006_an_000_0026.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\006_an_000_0030.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\006_an_000_0050.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\007_an_001_0026.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\007_an_001_0029.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\007_an_001_0039.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\008_an_002_0019.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\008_an_002_0022.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\009_an_002_0019.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\010_an_001_0023.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\010_an_001_0031.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\013_an_001_0020.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\014_an_002_0018.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\015_an_003_0024.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\015_an_003_0043.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\016_an_000_0034.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\016_an_000_0051.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\017_an_002_0035.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\018_an_000_0015.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\018_an_000_0028.jpg
anger,D:\education\university\projects\year3\s2\ai\working space\AI v1.0\Images\anger\019_an_002_0023.jpg
